"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Denmark,71.127,61.878,60.413,60.645,59.105,62.658,88.079,109.414,115.552,112.41,138.248,139.226,152.915,143.195,156.164,185.008,187.633,173.539,176.991,177.964,164.158,164.791,178.635,218.097,251.375,264.467,282.886,319.424,353.359,321.243,321.995,344.003,327.149,343.584,352.994,302.673,311.988,329.866,350.874,349.524,364.546,379.881,398.04,418.237,439.867
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.452,0.462,0.478,0.466,0.492,0.498,0.494,0.503,0.514,0.541,0.556,0.577,0.596,0.628,0.666,0.709,0.769,0.848,0.984,1.015,1.099,1.239,1.354,1.455,1.588,1.727,1.889,2.029,2.187,2.392,2.599,2.824,3.068,3.333,3.622
Dominica,0.073,0.082,0.09,0.099,0.109,0.119,0.135,0.152,0.171,0.185,0.201,0.22,0.234,0.246,0.264,0.275,0.292,0.303,0.322,0.332,0.333,0.34,0.333,0.343,0.367,0.364,0.39,0.421,0.458,0.489,0.494,0.501,0.486,0.508,0.528,0.535,0.581,0.553,0.494,0.542,0.59,0.627,0.664,0.688,0.712
Dominican Republic,8.672,9.698,9.141,9.461,14.87,6.496,7.891,8.305,7.605,8.589,7.995,9.887,11.605,13.081,14.645,16.637,18.242,20.017,21.672,22.137,24.306,25.602,27.249,21.518,22.506,35.948,37.998,44.067,48.206,48.319,53.921,58.088,60.747,62.758,66.157,68.898,72.434,76.091,80.94,84.837,90.459,96.568,103.224,110.475,118.234
Ecuador,16.84,17.243,17.214,15.129,16.101,18.83,13.816,12.91,12.277,12.049,12.236,13.73,15.012,17.537,21.147,22.968,24.035,27.009,27.474,19.74,18.319,24.468,28.549,32.433,36.592,41.507,46.802,51.008,61.763,62.52,69.555,79.277,87.925,95.13,101.726,99.29,99.938,104.296,107.511,106.289,107.73,110.571,114.783,118.502,122.025
Egypt,23.523,25.76,30.479,37.254,41.888,48.841,54.076,77.359,92.53,115.362,96.087,48.431,44.168,49.526,54.55,63.26,71.114,79.77,89.188,95.039,104.752,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,278.769,288.007,305.567,332.075,332.484,236.528,249.559,299.589,331.36,345.23,360.552,377.043,402.647
El Salvador,3.912,3.449,3.406,3.261,2.385,2.319,2.335,2.374,2.771,3.167,4.818,5.252,5.813,6.68,7.679,8.922,9.586,10.222,10.937,11.284,11.785,12.283,12.664,13.244,13.725,14.698,16,17.012,17.987,17.602,18.448,20.284,21.386,21.991,22.593,23.438,24.154,24.928,26.057,26.989,28.202,29.394,30.657,31.922,33.225
Equatorial Guinea,0.032,0.03,0.035,0.04,0.044,0.074,0.091,0.111,0.119,0.105,0.133,0.132,0.16,0.162,0.12,0.169,0.276,0.526,0.44,0.738,1.156,1.672,2.061,3.765,5.95,8.184,10.087,13.072,19.75,15.028,16.299,21.329,22.39,21.943,21.737,13.18,11.233,12.287,13.734,12.432,12.263,12.038,11.899,12.022,12.611
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.783,0.483,0.56,0.624,0.749,0.767,0.809,0.794,0.706,0.752,0.729,0.87,1.109,1.098,1.211,1.318,1.38,1.857,2.117,2.609,3.061,3.516,3.964,4.442,5.005,5.813,6.721,7.718,8.116,9.406,10.979,12.706,14.745
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.739,2.435,3.797,4.745,5.072,5.621,5.741,5.706,6.259,7.345,9.851,12.071,14.025,16.987,22.264,24.285,19.712,19.536,23.191,23.057,25.145,26.658,22.916,23.994,26.665,30.312,31.026,33.235,35.424,37.702,40.025,42.747
Eswatini,0.754,0.798,0.714,0.734,0.628,0.497,0.635,0.831,0.986,1.006,1.237,1.285,1.425,1.497,1.621,1.932,1.83,1.957,1.797,1.764,1.739,1.544,1.436,2.198,2.774,3.177,3.293,3.465,3.298,3.596,4.438,4.826,4.824,4.563,4.381,4.022,3.817,4.439,4.679,4.662,4.812,4.978,5.209,5.458,5.72
Ethiopia,7.385,7.578,7.973,8.863,8.375,9.808,10.188,10.89,11.285,11.872,12.595,13.928,14.696,9.143,8.135,8.431,8.826,8.909,8.078,7.927,8.235,8.223,7.851,8.623,10.142,12.408,15.283,19.701,26.839,32.464,29.917,31.958,42.221,46.544,54.165,63.081,70.886,75.745,80.279,90.968,99.371,108.065,117.111,127.234,138.04
Fiji,1.231,1.264,1.222,1.149,1.205,1.168,1.32,1.205,1.136,1.21,1.337,1.384,1.532,1.636,1.826,1.97,2.129,2.09,1.653,1.936,1.678,1.652,1.833,2.301,2.708,2.981,3.076,3.378,3.523,2.871,3.14,3.775,3.972,4.19,4.484,4.344,4.569,4.891,5.118,5.324,5.671,6.039,6.426,6.844,7.282
Finland,53.714,52.62,53.111,51.056,53.032,56.223,73.652,91.775,109.255,119.106,141.797,128.287,113.227,89.321,103.76,134.349,132.153,126.997,134.11,135.4,125.883,129.338,139.984,171.365,196.975,204.767,216.733,255.739,285.087,252.137,248.262,273.925,256.849,270.065,273.042,232.582,239.15,252.809,275.321,276.572,289.243,300.441,311.623,323.318,336.219
France,702.243,618.954,588.015,562.499,532.339,557.561,772.838,935.117,1020.878,1026.179,1272.433,1273.594,1404.391,1324.236,1396.653,1602.13,1606.035,1454.555,1505.184,1494.571,1365.972,1377.405,1498.907,1843.646,2117.964,2199.684,2320.53,2660.897,2932.215,2697.044,2647.537,2864.03,2685.311,2811.957,2856.697,2439.435,2466.152,2587.682,2775.252,2761.633,2876.053,2981.601,3099.755,3219.884,3354.126
Gabon,4.559,4.111,3.853,3.689,3.547,3.736,4.889,3.699,4.079,4.458,6.339,5.754,5.955,5.757,4.463,5.281,6.064,5.673,4.774,4.966,5.397,5.022,5.327,6.509,7.764,9.474,10.163,12.457,15.582,12.184,14.385,18.203,17.181,17.596,18.209,14.385,14.02,14.922,17.033,16.709,17.893,19.097,20.361,21.704,23.316
"Gambia, The",0.631,0.604,0.571,0.574,0.413,0.502,0.392,0.525,0.61,0.64,0.751,0.793,0.855,0.916,0.907,0.948,0.989,1.025,1.052,1.08,1.052,1.045,0.924,0.879,1.003,1.078,1.071,1.274,1.613,1.488,1.63,1.398,1.423,1.367,1.259,1.37,1.445,1.483,1.617,1.741,1.87,1.992,2.121,2.249,2.385
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.827,1.907,3.063,3.511,3.607,2.805,3.057,3.218,3.396,3.991,5.126,6.411,7.745,10.173,12.795,10.767,11.638,14.435,15.847,16.14,16.51,13.993,14.378,15.08,16.324,17.214,18.888,20.739,22.409,24.167,26.091
